Song Title	Date	Language
Revelation Song	5/20/12	Spanish
Beautiful	5/27/12	English
Eres Tu	5/27/12	Spanish
Es Por Tu Gracia	5/27/12	Spanish
How Deep the Father's Love for Us	5/27/12	English
Our God	5/27/12	Both
Follow You	6/3/12	English
I am free	6/3/12	English
Montana	6/3/12	Spanish
Oh Moradora de Sion	6/3/12	Spanish
On Jordan's Stormy Banks	6/3/12	English
Desert Song	6/10/12	Spanish
Oh Love That Will Not Let Me Go	6/10/12	Spanish
On Jordan's Stormy Banks	6/10/12	English
Sing for Joy	6/10/12	Both
You Never Let Go	6/10/12	English
God is Alive	6/17/12	English
How Great Thou Art	6/17/12	Both
Llenas Mi Ser	6/17/12	Spanish
Prince of Peace	6/17/12	English
The One You Need	6/17/12	English
Blessed Be Your Name	6/24/12	Both
Desert Song	6/24/12	Spanish
God is Alive	6/24/12	English
Tengo Libertad	6/24/12	Spanish
This Life	6/24/12	English
Beautiful	7/1/12	English
El Volvera	7/1/12	Spanish
Eres Todopoderoso	7/1/12	Spanish
Eres Tu	7/1/12	Spanish
I Will Rise	7/1/12	English
You'll Come	7/1/12	English
Cuan Bello Es El Senor	7/8/12	Spanish
El Volvera	7/8/12	Spanish
Everlasting God	7/8/12	English
He Is Faithful	7/8/12	English
Lord Reign In Me	7/8/12	English
You'll Come	7/8/12	English
Lord Reign In Me	7/15/12	English
El Volvera	7/22/12	Spanish
On Jordan's Stormy Banks	7/22/12	English
Sera Llena La Tierra	7/22/12	Spanish
Sing to the King	7/22/12	Both
You'll Come	7/22/12	English
Cuan Bello Es El Senor	7/29/12	Spanish
I Will Rise	7/29/12	English
Make My Life a Prayer To You	7/29/12	English
Sing For Joy	7/29/12	Both
Sing to the King	7/29/12	Both
Arise My Soul Arise	8/5/12	English
Cuan Bello Es El Senor	8/5/12	Spanish
Everlasting God	8/5/12	English
Oh Moradora de Sion	8/5/12	Spanish
Your Grace Is Enough	8/5/12	Spanish
Create In Me a Clean Heart	8/12/12	Both
God Be Merciful to Me	8/12/12	English
Sing to the King	8/12/12	Both
You Never Let Go	8/12/12	English
Your Grace Is Enough	8/12/12	Spanish
Beautiful	8/19/12	English
Before There Was Time	8/19/12	English
Blessed Be Your Name	8/19/12	Both
Eres Todopoderoso	8/19/12	Spanish
Nothing But the Blood of Jesus	8/19/12	Spanish
Indescribable	8/26/12	Both
Jehova Senor de los Cielos	8/26/12	Spanish
Jesus All For Jesus	8/26/12	English
Sing Alleluia	8/26/12	Both
The Stand	8/26/12	English
Arise My Soul Arise	9/2/12	English
Before the Throne	9/2/12	English
By His Wounds	9/2/12	English
Sumergeme	9/2/12	Spanish
Your Grace Is Enough	9/2/12	Spanish
A Quien Ire	9/9/12	Spanish
From the Inside Out	9/9/12	Both
God is Able	9/9/12	English
I Will Rise	9/9/12	English
Mighty to Save	9/9/12	Spanish
Did You Feel the Mountains Tremble	9/16/12	English
From the Inside Out	9/16/12	Spanish
God is Able	9/16/12	English
Sumergeme	9/16/12	Spanish
Your Grace Is Enough	9/16/12	Spanish
Aumenta mi fe	9/23/12	Spanish
Desert Song	9/23/12	Spanish
House of God Forever	9/23/12	English
Montana	9/23/12	Spanish
The Solid Rock	9/23/12	English
Aumenta mi fe	9/30/12	Spanish
Days of Elijah	9/30/12	Both
Fill Me Up	9/30/12	English
In Remembrance of Me	9/30/12	English
Oh Moradora de Sion	9/30/12	Spanish
Canaan Bound	10/7/12	English
Did You Feel the Mountains Tremble	10/7/12	English
El Volvera	10/7/12	Spanish
Fill Me Up	10/7/12	English
God Is Able	10/7/12	Spanish
Create In Me a Clean Heart	10/14/12	Both
Doxology	10/14/12	English
From the Inside Out	10/14/12	Spanish
Take My Life	10/14/12	English
Unto the Hills Around Do I Lift Up	10/14/12	English
Blessed Assurance - En Jesucristo	10/21/12	Both
God Is Able	10/21/12	Spanish
Hallelujah	10/21/12	Spanish
How He Loves Us	10/21/12	English
The Stand	10/21/12	Spanish
You Never Let Go	10/21/12	English
Amazing Grace	10/28/12	English
How Great Thou Art	10/28/12	Both
Praise to the Lord Almighty	10/28/12	English
Prince of Peace	10/28/12	Spanish
Revelation Song	10/28/12	Spanish
"10,000 Reasons"	11/4/12	English
Amazing Grace	11/4/12	Spanish
I am free	11/4/12	English
Jesus All For Jesus	11/4/12	Both
Llenas Mi Ser	11/4/12	Spanish
"10,000 Reasons"	11/11/12	English
In Christ Alone	11/11/12	English
No Es Como Yo	11/11/12	Spanish
Revelation Song	11/11/12	Spanish
Sera Llena La Tierra	11/11/12	Spanish
Cantare de tu Amor	11/18/12	Spanish
Give Us Clean Hands	11/18/12	English
Gracias	11/18/12	Spanish
How He Loves Us	11/18/12	English
Eres Todopoderoso	11/18/12	Spanish
Come Thou Long Expected Jesus	11/25/12	English
God is Able	11/25/12	Spanish
Joy To The World	11/25/12	Both
O Come O Come Emmanuel	11/25/12	Both
You'll Come	11/25/12	English
Great Is Thy Faithfulness	12/2/12	Both
He Reigns	12/2/12	English
Joy To The World	12/2/12	Both
Sing for Joy	12/2/12	Spanish
What Child is This	12/2/12	Both
A Quien Ire	12/9/12	Spanish
Hark the Herald Angels Sing	12/9/12	Both
He Reigns	12/9/12	English
Lion of Judah	12/9/12	English
Suenen Dulces Himnos	12/9/12	Spanish
Give Us Clean Hands	12/16/12	English
God is Able	12/16/12	English
Hark the Herald Angels Sing	12/16/12	Both
Renuevame	12/16/12	Spanish
Suenen Dulces Himnos	12/16/12	Spanish
Days of Elijah	12/23/12	Both
Go Tell It On The Mountain	12/23/12	Both
God of Wonders	12/23/12	English
Joy To The World	12/23/12	Both
O Come O Come Emmanuel	12/23/12	Both
O Come O Come Emmanuel	12/24/12	Both
What Child is This	12/24/12	Both
O Holy Night	12/24/12	Both
Silent Night	12/24/12	Both
Jingle Bells	12/24/12	Both
Go Tell It On The Mountain	12/24/12	Both
Angels We Have Heard on High	12/24/12	Both
O Come All Ye Faithful	12/24/12	Both
"10,000 Reasons"	12/30/12	English
Did You Feel the Mountains Tremble	12/30/12	English
El Volvera	12/30/12	Spanish
Es Por Tu Gracia	12/30/12	Spanish
Sing for Joy	12/30/12	Spanish
God is Able	1/6/13	Spanish
King of Glory - Tomlin	1/6/13	English
None But Jesus	1/6/13	Spanish
O Worship the King	1/6/13	English
Our God	1/6/13	Both
Better is One Day	1/13/13	Spanish
King of Glory - Tomlin	1/13/13	English
Prince of Peace	1/13/13	Spanish
Sera Llena La Tierra	1/13/13	Spanish
The Glory of Your Name	1/13/13	English
Amazing Grace	1/20/13	English
Como la brisa	1/20/13	Spanish
Eres Fiel	1/20/13	Spanish
Prince of Peace	1/20/13	Spanish
Redeemed	1/20/13	English
Desert Song	1/27/13	Spanish
Eres Fiel	1/27/13	Spanish
Great Is Thy Faithfulness	1/27/13	Both
He Reigns	1/27/13	English
King of Glory - Third Day	1/27/13	English
Doxology	2/3/13	Both
How Great is our God	2/3/13	Both
How Great Thou Art	2/3/13	Both
Indescribable	2/3/13	Both
No Es Como Yo	2/3/13	Spanish
Come Thou Fount	2/10/13	English
Fill Me Up	2/10/13	English
Pan de Vida	2/10/13	Spanish
Sing for Joy	2/10/13	Spanish
Your Grace Is Enough	2/10/13	Spanish
Be Thou My Vision	2/17/13	English
He Reigns	2/17/13	English
"My Savior, My God"	2/17/13	English
Open the Eyes of My Heart	2/17/13	Spanish
Revelation Song	2/17/13	Spanish
A Quien Ire	2/24/13	Spanish
Here I Am to Worship	2/24/13	Both
How Great is our God	2/24/13	Both
Oh Love That Will Not Let Me Go	2/24/13	Spanish
Your Great Name	2/24/13	English
Amazing Grace	3/3/13	English
Blessed Be Your Name	3/3/13	Both
Came To My Rescue	3/3/13	Both
It Is Well	3/3/13	Both
Tu Nos Creaste	3/3/13	Spanish
Arise My Soul Arise	3/10/13	English
How Deep the Father's Love for Us	3/10/13	English
Love Like Fire	3/10/13	Spanish
Me Has Atraido Jesus	3/10/13	Spanish
Oh Love That Will Not Let Me Go	3/10/13	Spanish
God is Alive	3/17/13	English
In Christ Alone	3/17/13	English
Jesus es el Senor	3/17/13	Spanish
Love Like Fire	3/17/13	Spanish
"My Savior, My God"	3/17/13	English
By His Wounds	3/24/13	English
"Holy, Holy, Holy"	3/24/13	Both
Hosanna (Hillsong)	3/24/13	English
Mi Jesus Mi Amado	3/24/13	Spanish
Prince of Peace	3/24/13	Spanish
God is Alive	3/31/13	English
Hosanna (Baloche)	3/31/13	English
Jesus Paid It All	3/31/13	English
Mighty to Save	3/31/13	Spanish
The Stand	3/31/13	Spanish
Beautiful Scandalous Night	4/7/13	English
Hands and Feet	4/7/13	English
He Reigns	4/7/13	English
"Holy, Holy, Holy"	4/7/13	Both
Love Like Fire	4/7/13	Spanish
Sera Llena La Tierra	4/7/13	Spanish
Arise My Soul Arise	4/14/13	English
God is Alive	4/14/13	Spanish
How Deep the Father's Love for Us	4/14/13	English
Reinas por la Eternidad	4/14/13	Spanish
Show Us Christ	4/14/13	English
Creed	4/21/13	English
Dame tus ojos	4/21/13	Spanish
Great Is Thy Faithfulness	4/21/13	Both
How Great is our God	4/21/13	Both
Reinas por la Eternidad	4/21/13	Spanish
Aumenta mi fe	4/28/13	Spanish
Beautiful Savior	4/28/13	English
On Fire	4/28/13	English
Open the Eyes of My Heart	4/28/13	Both
Revelation Song	4/28/13	Spanish
Crown Him With Many Crowns	5/5/13	Spanish
Eres Tu	5/5/13	Spanish
Lead Me To The Cross	5/5/13	English
Lord Reign In Me	5/5/13	English
Prince of Peace	5/5/13	Both
Cada Manana	5/12/13	Spanish
I Stand Amazed	5/12/13	English
Jesus Paid It All	5/12/13	English
Me Has Atraido Jesus	5/12/13	Spanish
Sing to the King	5/12/13	Both
Hosanna (Hillsong)	5/19/13	English
In Christ Alone	5/19/13	English
Our God	5/19/13	Both
Sera Llena La Tierra	5/19/13	Spanish
Spirit of the Living God	5/19/13	Spanish
A Mighty Fortress	5/26/13	Both
Fill Me Up	5/26/13	English
Sumergeme	5/26/13	Spanish
You Never Let Go	5/26/13	English
You'll Come	5/26/13	Spanish
From the Inside Out	6/2/13	Spanish
Give Us Clean Hands	6/2/13	English
God Be Merciful to Me	6/2/13	English
I Will Rise	6/2/13	English
Sing for Joy	6/2/13	Spanish
Did You Feel the Mountains Tremble	6/9/13	English
Forty	6/9/13	English
Love Like Fire	6/9/13	Spanish
Reinas por la Eternidad	6/9/13	Spanish
Show Us Christ	6/9/13	English
Sing to the King	6/9/13	Both
Awesome is the Lord Most High	6/16/13	English
Here I Am to Worship	6/16/13	Both
Sing to the King	6/16/13	Both
Desert Song	6/16/13	Spanish
How Great Thou Art	6/16/13	Both
He Is Exalted	6/23/13	Both
Before the Throne	6/23/13	English
None But Jesus	6/23/13	Spanish
Praise the Name of Jesus	6/23/13	English
Reinas por la Eternidad	6/23/13	Spanish
A Mighty Fortress	6/23/13	Both
Indescribable	6/30/13	Both
He is Exalted	6/30/13	Both
It is Well	6/30/13	Both
Isaiah 43	6/30/13	English
The Stand	6/30/13	Spanish
He Reigns	7/7/13	English
Blessed Be Your Name	7/7/13	Both
The Potter's Hand	7/7/13	Spanish
Spirit of the Living God	7/7/13	Spanish
Creed	7/7/13	English
Take My Life	7/7/13	English
Marvelous Light	7/14/13	English
He is Exalted	7/14/13	Both
Your Grace Is Enough	7/14/13	Spanish
Be Thou My Vision	7/14/13	English
Jesus All For Jesus	7/14/13	Both
Amazing Grace	7/14/13	Spanish
Revelation Song	7/21/13	Spanish
Llenas Mi Ser	7/21/13	Spanish
In Christ Alone	7/21/13	English
Create In Me a Clean Heart	7/21/13	Both
Beautiful Scandalous Night	7/21/13	English
From the Inside Out	7/21/13	Spanish
Did You Feel the Mountains Tremble	7/28/13	English
Days of Elijah	7/28/13	Both
Crown Him With Many Crowns	7/28/13	Spanish
"Holy, Holy, Holy"	7/28/13	Both
Yahweh	7/28/13	English
Love Like Fire	7/28/13	Spanish
God is Able	8/4/13	English
A Mighty Fortress	8/4/13	Both
Eres Todopoderoso	8/4/13	Spanish
Tis So Sweet To Trust In Jesus	8/4/13	Both
Reinas por la Eternidad	8/4/13	Spanish
Marvelous Light	8/4/13	English
Jesus Paid It All	8/11/13	English
Tis So Sweet To Trust In Jesus	8/11/13	Both
Eres Tu	8/11/13	Spanish
Cada Manana	8/11/13	Spanish
Yahweh	8/11/13	English
The Stand	8/11/13	Spanish
Desert Song	8/18/13	Spanish
All Creatures of Our God and King	8/18/13	Both
How He Loves Us	8/18/13	English
How Deep the Father's Love for Us	8/18/13	English
Nothing but the blood of Jesus	8/18/13	Spanish
How Great Thou Art	8/18/13	Both
A Mighty Fortress	8/25/13	Both
Prince of Peace	8/25/13	Spanish
There Is Nothing	8/25/13	English
Tis So Sweet To Trust In Jesus	8/25/13	Both
Sera Llena La Tierra	8/25/13	Spanish
King of Glory - Tomlin	9/1/13	English
Sing for Joy	9/1/13	Spanish
Renuevame	9/1/13	Spanish
Doxology	9/1/13	Both
Beautiful	9/1/13	English
Great Is Thy Faithfulness	9/1/13	Both
Marvelous Light	9/8/13	English
Your Grace Is Enough	9/8/13	Spanish
Lead Me To The Cross	9/8/13	Both
Mighty to Save	9/8/13	English
Nothing but the blood of Jesus	9/8/13	Spanish
Sing to the King	9/8/13	Both
Crown Him With Many Crowns	9/15/13	Spanish
He Is Exalted	9/15/13	Both
I Surrender All	9/15/13	English
Dead Man (Carry Me)	9/15/13	English
Dame tus ojos	9/15/13	Spanish
Hosanna (Hillsong)	9/15/13	English
Yahweh	9/22/13	English
"Holy, Holy, Holy"	9/22/13	Both
Amazing Grace	9/22/13	Spanish
Sumergeme	9/22/13	Spanish
How Great is our God	9/22/13	Both
"10,000 Reasons"	9/22/13	English
God of Wonders	9/29/13	English
Open the Eyes of My Heart	9/29/13	Both
Beautiful Savior	9/29/13	English
Spirit of the Living God	9/29/13	Spanish
It Is Well	9/29/13	Both
Tengo Hambre de Ti	10/6/13	Spanish
Love Like Fire	10/6/13	Spanish
Be Thou My Vision	10/6/13	English
Turn Your Eyes Upon Jesus	10/6/13	Both
He Reigns	10/6/13	English
Reinas por la Eternidad	10/6/13	Spanish
Show Us Christ	10/13/13	English
None But Jesus	10/13/13	Both
Revelation Song	10/13/13	Spanish
You'll Come	10/13/13	Spanish
Rock of Ages	10/13/13	English
A Quien Ire	10/13/13	Spanish
Montana	10/20/13	Spanish
Because He Lives	10/20/13	Both
Tis So Sweet To Trust In Jesus	10/20/13	Both
Rise	10/20/13	English
Crown Him With Many Crowns	10/20/13	Spanish
Everlasting God	10/20/13	English
God of Wonders	10/27/13	English
Oh Love That Will Not Let Me Go	10/27/13	Spanish
Nothing but the blood of Jesus	10/27/13	Spanish
Great Is Thy Faithfulness	10/27/13	Both
I Will Wait	10/27/13	English
You Never Let Go	10/27/13	English
Oh Moradora de Sion	11/3/13	Spanish
Indescribable	11/3/13	Both
In Christ Alone	11/3/13	English
Tengo Libertad	11/3/13	Spanish
On Jordan's Stormy Banks	11/3/13	English
Tengo Libertad	11/10/13	Spanish
Your Grace Is Enough	11/10/13	Spanish
Marvelous Light	11/10/13	English
All I Can Say	11/10/13	English
Hear the Call of the Kingdom	11/10/13	English
Amazing Grace	11/10/13	Spanish
Eres Tu	11/17/13	Spanish
Lord Reign In Me	11/17/13	English
Amazing Grace	11/17/13	Spanish
Let Us Love And Sing and Wonder	11/17/13	English
God is Able	11/17/13	Spanish
Fill Me Up	11/17/13	English
Sing to the King	11/24/13	Both
Crown Him With Many Crowns	11/24/13	Spanish
Mighty to Save	11/24/13	Spanish
Maravilloso es el Gran Amor	11/24/13	Spanish
Hear the Call of the Kingdom	11/24/13	English
He Reigns	11/24/13	English
O Come O Come Emmanuel	12/1/13	Both
Yahweh	12/1/13	English
Great Is Thy Faithfulness	12/1/13	Both
Come Thou Long Expected Jesus	12/1/13	English
Eres Fiel	12/1/13	Spanish
You'll Come	12/1/13	Spanish
Forty	12/1/13	English
O Come O Come Emmanuel	12/8/13	Both
Tengo Hambre de Ti	12/8/13	Spanish
Come Thou Long Expected Jesus	12/8/13	English
Soon	12/8/13	English
Maravilloso es el Gran Amor	12/8/13	Spanish
Everlasting God	12/8/13	English
You'll Come	12/15/13	English
Days of Elijah	12/15/13	Both
El Volvera	12/15/13	Spanish
The Revelation of Jesus Christ	12/15/13	English
O Come O Come Emmanuel	12/15/13	Both
Reinas por la Eternidad	12/15/13	Spanish
O Come O Come Emmanuel	12/22/13	Both
Hosanna (Hillsong)	12/22/13	English
Yo Quiero Mas De Ti	12/22/13	Spanish
Your Love Is Strong	12/22/13	English
Oh Love That Will Not Let Me Go	12/22/13	Spanish
Days of Elijah	12/22/13	Both
Joy To The World	12/24/13	Both
Hark the Herald Angels Sing	12/24/13	Both
Suenen Dulces Himnos	12/24/13	Spanish
What Child is This	12/24/13	Both
O Holy Night	12/24/13	Both
Silent Night	12/24/13	Both
Joy To The World	12/29/13	Both
Hark the Herald Angels Sing	12/29/13	Both
Suenen Dulces Himnos	12/29/13	Spanish
What Child is This	12/29/13	Both
Tu Dejaste Tu Trono	12/29/13	Spanish
Go Tell It On The Mountain	12/29/13	Both
How Deep the Father's Love for Us	1/5/14	English
Tu Dejaste Tu Trono	1/5/14	Spanish
No Es Como Yo	1/5/14	Spanish
By His Wounds	1/5/14	English
Mi Jesus Mi Amado	1/5/14	Spanish
I Surrender All	1/5/14	English
Awesome is the Lord Most High	1/12/14	English
Indescribable	1/12/14	Both
Jesus es el Senor	1/12/14	Spanish
Crown Him With Many Crowns	1/12/14	Spanish
Worthy is the Lamb	1/12/14	Both
Lord Reign In Me	1/12/14	English
He is Exalted	1/19/14	Both
God is Able	1/19/14	Spanish
Hosanna (Hillsong)	1/19/14	English
Worthy is the Lamb	1/19/14	Both
Praise the Name of Jesus	1/19/14	Both
Here I Am to Worship	1/19/14	Spanish
Arise My Soul Arise	1/26/14	English
Lead Me To The Cross	1/26/14	Spanish
Praise the Name of Jesus	1/26/14	Both
Redeemed	1/26/14	English
Nothing but the blood of Jesus	1/26/14	Spanish
Jesus Paid It All	1/26/14	English
Not What My Hands Have Done	2/2/14	English
Love Like Fire	2/2/14	Spanish
From the Inside Out	2/2/14	Both
Renuevame	2/2/14	Spanish
All Creatures of Our God and King	2/2/14	Both
Llenas Mi Ser	2/2/14	Spanish
Before the Throne	2/9/14	English
A Mighty Fortress	2/9/14	Both
None But Jesus	2/9/14	Spanish
Turn Your Eyes Upon Jesus	2/9/14	Both
Hello My Name Is	2/9/14	English
The Stand	2/9/14	Spanish
Tengo Libertad	2/16/14	Spanish
Oh Love That Will Not Let Me Go	2/16/14	Spanish
Marvelous Light	2/16/14	English
Beautiful Scandalous Night	2/16/14	English
Your Grace Is Enough	2/16/14	Spanish
Hear the Call of the Kingdom	2/16/14	English
Prince of Peace	2/23/14	English
Revelation Song	2/23/14	Spanish
Here I Am to Worship	2/23/14	Both
Enamorame	2/23/14	Spanish
How Great is our God	2/23/14	Both
Jesus Paid It All	2/23/14	English
Marvelous Light	3/2/14	English
Your Grace Is Enough	3/2/14	Spanish
Me Has Atraido Jesus	3/2/14	Spanish
Redeemed	3/2/14	English
King of Glory - Third Day	3/2/14	English
Take My Life	3/2/14	Spanish
"Holy, Holy, Holy"	3/9/14	Both
How He Loves Us	3/9/14	English
Came To My Rescue	3/9/14	Spanish
Tis So Sweet To Trust In Jesus	3/9/14	Both
Oh Love That Will Not Let Me Go	3/9/14	Spanish
A Mighty Fortress	3/9/14	Both
The Solid Rock	3/16/14	English
Lead Me To The Cross	3/16/14	Spanish
Turn Your Eyes Upon Jesus	3/16/14	Both
Beautiful	3/16/14	English
By His Wounds	3/16/14	English
Mighty to Save	3/16/14	Spanish
Oh Moradora de Sion	3/23/14	Spanish
Sing to the King	3/23/14	Both
They Will Know We are Christians	3/23/14	English
Fellowship So Deep	3/23/14	English
Unidos	3/23/14	Spanish
Did You Feel the Mountains Tremble	3/23/14	English
Marvelous Light	3/30/14	English
From the Inside Out	3/30/14	Spanish
Here I Am to Worship	3/30/14	Spanish
Great I Am	3/30/14	English
Arise My Soul Arise	3/30/14	English
Reinas por la Eternidad	3/30/14	Spanish
They Will Know We are Christians	4/6/14	English
Create In Me a Clean Heart	4/6/14	Both
Renuevame	4/6/14	Spanish
Fill Me Up	4/6/14	English
The Potter's Hand	4/6/14	Spanish
Great I Am	4/6/14	English
Eres Fiel	4/13/14	Spanish
Tis So Sweet To Trust In Jesus	4/13/14	Both
It Is Well	4/13/14	Both
Oceans	4/13/14	English
Those Who Trust	4/13/14	English
Desert Song	4/13/14	Spanish
Christ the Lord is Risen Today	4/20/14	Both
Crown Him With Many Crowns	4/20/14	Spanish
He Reigns	4/20/14	English
Oceans	4/20/14	English
Fellowship So Deep	4/20/14	English
God is Able	4/20/14	Spanish
Christ the Lord is Risen Today	4/27/14	Both
Nothing but the blood of Jesus	4/27/14	Both
None But Jesus	4/27/14	Spanish
Hear the Call of the Kingdom	4/27/14	English
The Power of the Cross	4/27/14	English
Unidos	4/27/14	Spanish
Behold Our God	5/4/14	Both
I Surrender All	5/4/14	English
Dame tus ojos	5/4/14	Spanish
Oh Love That Will Not Let Me Go	5/4/14	Spanish
They Will Know We are Christians	5/4/14	English
The Power of the Cross	5/4/14	English
All Hail the Power of Jesus' Name	5/11/14	Both
Sing to the King	5/11/14	Both
On Jordan's Stormy Banks	5/11/14	English
Worthy is the Lamb	5/11/14	Spanish
Soon	5/11/14	English
Amazing Grace	5/11/14	Spanish
Everlasting God	5/18/14	English
Behold Our God	5/18/14	Both
From the Inside Out	5/18/14	Spanish
Let Me Be	5/18/14	English
"10,000 Reasons"	5/18/14	English
Mi Vida Es Cristo	5/18/14	Spanish
Lead Me To The Cross	5/25/14	Spanish
From the Inside Out	5/25/14	Spanish
"10,000 Reasons"	5/25/14	English
Dame tus ojos	5/25/14	Spanish
Worthy is the Lamb	5/25/14	Both
Take My Life	5/25/14	Both
Sera Llena La Tierra	6/1/14	Spanish
Desert Song	6/1/14	Spanish
Fill Me Up	6/1/14	English
Let Me Be	6/1/14	English
Unidos	6/1/14	Spanish
Follow You	6/1/14	English
All Hail the Power of Jesus' Name	6/8/14	Both
Sing for Joy	6/8/14	Both
A Quien Ire	6/8/14	Spanish
Seek Ye First	6/8/14	English
Came To My Rescue	6/8/14	Spanish
Oceans	6/8/14	English
Eres Todopoderoso	6/15/14	Spanish
Our God	6/15/14	Both
Rise	6/15/14	English
Spirit of the Living God	6/15/14	Spanish
Es Por Tu Gracia	6/15/14	Spanish
Overcome	6/15/14	English
Overcome	6/22/14	English
It Is Well	6/22/14	Both
Mi Vida Es Cristo	6/22/14	Spanish
Yo Quiero Mas De Ti	6/22/14	Spanish
Oceans	6/22/14	English
Great I Am	6/29/14	English
Blessed Be Your Name	6/29/14	Both
A Quien Ire	6/29/14	Spanish
The Potter's Hand	6/29/14	Spanish
Whom Shall I Fear?	6/29/14	English
O Worship the King	7/6/14	English
Behold Our God	7/6/14	Both
Me Postro	7/6/14	Spanish
Doxology	7/6/14	Both
"Jesus, Friend of Sinners"	7/6/14	English
Mi Vida Es Cristo	7/6/14	Spanish
Overcome	7/13/14	English
A Mighty Fortress	7/13/14	Both
Tengo Un Refugio	7/13/14	Spanish
All Hail the Power of Jesus' Name	7/13/14	Both
Those Who Trust	7/13/14	English
Came To My Rescue	7/13/14	Both
El Dios Que Adoramos	7/20/14	Spanish
Great Is Thy Faithfulness	7/20/14	Both
Yahweh	7/20/14	English
Me Postro	7/20/14	Spanish
Tengo Un Refugio	7/20/14	Spanish
Great I Am	7/20/14	English
El Dios Que Adoramos	7/27/14	Spanish
Forever	7/27/14	Both
How He Loves Us	7/27/14	English
"10,000 Reasons"	7/27/14	English
All Hail the Power of Jesus' Name	7/27/14	Both
How Great Thou Art	7/27/14	Both
Sing to the King	8/3/14	Both
"Holy, Holy, Holy"	8/3/14	Both
Me Postro	8/3/14	Spanish
Doxology	8/3/14	Both
I Surrender All	8/3/14	English
How Great is our God	8/3/14	Both
El Dios Que Adoramos	8/10/14	Spanish
Forever	8/10/14	Both
Reinas por la Eternidad	8/10/14	Spanish
